year,month,day,avg_temperature,precipitation
2020,9,21,16.25,0.0
2020,9,20,16.64,0.0
2020,9,19,15.95,2.8
2020,9,18,16.55,0.0
2020,9,17,17.55,0.0
2020,9,16,17.14,0.0
2020,9,15,18.64,1.8
2020,9,14,14.25,1.0
2020,9,13,13.89,0.0
2020,9,12,15.15,0.0
2020,9,11,19.2,0.0
2020,9,10,18.25,0.0
2020,9,9,16.85,0.0
2020,9,8,16.5,0.0
2020,9,7,18.8,0.0
2020,9,6,17.25,0.0
2020,9,5,17.95,0.0
2020,9,4,17.89,0.0
2020,9,3,16.64,0.0
2020,9,2,17.85,0.0
2020,9,1,18.05,0.0
2020,8,31,16.14,0.0
2020,8,30,14.55,0.0
2020,8,29,16.5,0.0
2020,8,28,17.2,0.0
2020,8,27,15.85,0.0
2020,8,26,15.75,0.0
2020,8,25,15.4,0.0
2020,8,24,16.95,0.3
2020,8,23,16.55,0.0
2020,8,22,16.0,0.0
2020,8,21,19.05,7.6
2020,8,20,19.0,6.6
2020,8,19,19.6,0.0
2020,8,18,20.9,0.0
2020,8,17,23.7,0.0
2020,8,16,21.55,0.0
2020,8,15,18.45,0.0
2020,8,14,17.1,0.0
2020,8,13,15.35,0.0
2020,8,12,16.75,0.0
2020,8,11,16.45,0.0
2020,8,10,17.35,0.0
2020,8,9,15.95,0.0
2020,8,8,17.7,1.8
2020,8,7,16.75,4.6
2020,8,6,17.85,25.6
2020,8,5,20.7,0.0
2020,8,4,20.0,0.0
2020,8,3,20.39,0.0
2020,8,2,19.95,0.0
2020,8,1,19.2,0.0
2020,7,31,21.15,0.0
2020,7,30,19.55,0.0
2020,7,29,18.2,0.0
2020,7,28,19.2,0.0
2020,7,27,20.29,0.0
2020,7,26,17.89,0.0
2020,7,25,16.3,0.0
2020,7,24,17.35,0.0
2020,7,23,18.2,0.0
2020,7,22,19.95,0.0
2020,7,21,21.6,0.0
2020,7,20,20.5,0.0
2020,7,19,18.6,0.0
2020,7,18,17.05,0.0
2020,7,17,18.35,0.0
2020,7,16,19.7,0.0
2020,7,15,19.05,0.0
2020,7,14,16.14,0.0
2020,7,13,15.25,0.0
2020,7,12,15.7,0.0
2020,7,11,15.4,3.2
2020,7,10,16.39,0.0
2020,7,9,17.04,4.6
2020,7,8,17.14,0.8
2020,7,7,16.1,0.0
2020,7,6,16.54,0.0
2020,7,5,15.2,0.0
2020,7,4,15.6,0.0
2020,7,3,13.45,16.2
2020,7,2,15.55,1.0
2020,7,1,13.9,1.4
2020,6,30,16.64,0.6
2020,6,29,17.35,0.0
2020,6,28,16.1,0.4
2020,6,27,16.2,0.4
2020,6,26,17.5,0.4
2020,6,25,17.5,0.0
2020,6,24,18.14,4.2
2020,6,23,17.95,0.8
2020,6,22,17.05,0.0
2020,6,21,17.64,0.0
